node,transistor,corner,voltage_offset_V,vdd_V,temperature_C,rows,cols,pex,dec_act_energy_pJ,dec_flip_energy_pJ,dec_idle_energy_pJ,dec_leak_power_mW,dec_clk_wl_ns,dec_wlen_wl_ns,dec_wl_rise_ns,wl_cap_fF,wl_res_ohm,dec_width_um,dec_height_um,dec_area_um2,dec_util,clk_ns,flow_run_id
20nm,hp,TT,0,0.9,25,8,4,1,0.02417,0.03227,0.01137,1.678e-05,2.043,0.04285,0.03568,1.32372,101.072,2.112,11.2,23.6544,0.6696,10,dec_8x4_v0.9_t25_20260715_121024
20nm,hp,TT,0,0.9,25,8,8,1,0.025155,0.03324,0.01141,1.439e-05,2.055,0.05468,0.05822,2.63877,208.43,2.112,11.2,23.6544,0.6696,10,dec_8x8_v0.9_t25_20260715_121259
20nm,hp,TT,0,0.9,25,8,16,1,0.027295,0.03537,0.01141,1.439e-05,2.077,0.07653,0.1033,5.26869,423.146,2.112,11.2,23.6544,0.6696,10,dec_8x16_v0.9_t25_20260715_121553
20nm,hp,TT,0,0.9,25,8,32,1,0.031645,0.039505,0.01138,1.591e-05,2.12,0.1201,0.1962,10.5269,852.578,2.112,11.2,23.6544,0.6696,10,dec_8x32_v0.9_t25_20260715_121920
20nm,hp,TT,0,0.9,25,8,64,1,0.04312,0.05134,0.0115,2.156e-05,2.161,0.161,0.2045,20.9112,1711.443,2.772,11.2,31.0464,0.619,10,dec_8x64_v0.9_t25_20260715_122355
20nm,hp,TT,0,0.9,25,16,4,1,0.03262,0.046555,0.01526,2.393e-05,2.045,0.04542,0.03662,1.32383,101.072,2.244,17.6,39.4944,0.6578,10,dec_16x4_v0.9_t25_20260715_122636
20nm,hp,TT,-0.1,0.8,25,16,8,1,0.026265,0.036945,0.01194,2.066e-05,2.063,0.06292,0.06238,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.8_t25_20260715_164928
20nm,hp,TT,-0.1,0.8,85,16,8,1,0.02974,0.040775,0.01481,0.0003035,2.06,0.05974,0.06283,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.8_t85_20260715_165114
20nm,hp,TT,-0.05,0.85,25,16,8,1,0.029855,0.0421,0.01354,2.135e-05,2.06,0.0597,0.06039,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.85_t25_20260715_164954
20nm,hp,TT,-0.05,0.85,85,16,8,1,0.03375,0.046445,0.01673,0.0003366,2.057,0.05707,0.06128,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.85_t85_20260715_165142
20nm,hp,TT,0,0.9,25,16,8,1,0.033695,0.04763,0.01527,2.393e-05,2.057,0.05713,0.05898,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.9_t25_20260715_122928
20nm,hp,TT,0,0.9,85,16,8,1,0.03812,0.05259,0.01884,0.0003758,2.055,0.05484,0.05985,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.9_t85_20260715_165207
20nm,hp,TT,0.05,0.95,25,16,8,1,0.037835,0.053595,0.01708,2.976e-05,2.055,0.0549,0.05754,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.95_t25_20260715_165022
20nm,hp,TT,0.05,0.95,85,16,8,1,0.04376,0.060175,0.02215,0.0005248,2.053,0.05291,0.05892,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v0.95_t85_20260715_165236
20nm,hp,TT,0.1,1,25,16,8,1,0.042715,0.06045,0.01955,8.578e-05,2.053,0.05301,0.05642,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v1_t25_20260715_165049
20nm,hp,TT,0.1,1,85,16,8,1,0.07246,0.091,0.05081,0.003213,2.051,0.05131,0.05809,2.63898,208.43,2.244,17.6,39.4944,0.6578,10,dec_16x8_v1_t85_20260715_165306
20nm,hp,TT,0,0.9,25,16,16,1,0.035215,0.050095,0.01526,2.4e-05,2.079,0.07861,0.1031,5.26908,423.146,2.244,17.6,39.4944,0.6578,10,dec_16x16_v0.9_t25_20260715_123250
20nm,hp,TT,0,0.9,25,16,32,1,0.039865,0.05451,0.01526,2.421e-05,2.123,0.1228,0.1966,10.5276,852.578,2.244,17.6,39.4944,0.6578,10,dec_16x32_v0.9_t25_20260715_123721
20nm,hp,TT,0,0.9,25,16,64,1,0.055715,0.07054,0.01541,3.716e-05,2.182,0.182,0.2052,20.9123,1711.443,2.772,17.6,48.7872,0.6537,10,dec_16x64_v0.9_t25_20260715_124418
20nm,hp,TT,0,0.9,25,32,4,1,0.03973,0.062765,0.01921,3.797e-05,2.046,0.04616,0.03715,1.32385,101.072,3.3,30.4,100.32,0.4305,10,dec_32x4_v0.9_t25_20260715_124709
20nm,hp,TT,0,0.9,25,32,8,1,0.040705,0.06383,0.01923,3.793e-05,2.059,0.05864,0.06071,2.63904,208.43,3.3,30.4,100.32,0.4305,10,dec_32x8_v0.9_t25_20260715_125037
20nm,hp,TT,0,0.9,25,32,16,1,0.042835,0.065955,0.01923,3.793e-05,2.081,0.08056,0.1059,5.2692,423.146,3.3,30.4,100.32,0.4305,10,dec_32x16_v0.9_t25_20260715_125455
20nm,hp,TT,0,0.9,25,32,32,1,0.047345,0.070395,0.01924,3.788e-05,2.123,0.1231,0.1971,10.5279,852.578,3.3,30.4,100.32,0.4305,10,dec_32x32_v0.9_t25_20260715_130212
20nm,hp,TT,0,0.9,25,32,64,1,0.057985,0.081275,0.0195,6.485e-05,2.165,0.1646,0.2066,20.9128,1711.443,4.752,30.4,144.4608,0.3925,10,dec_32x64_v0.9_t25_20260715_131525
20nm,hp,TT,0,0.9,25,64,4,1,0.07113,0.112,0.02331,6.57e-05,2.052,0.05236,0.0456,1.32388,101.072,5.94,58.4,346.896,0.2174,10,dec_64x4_v0.9_t25_20260715_131912
20nm,hp,TT,0,0.9,25,64,8,1,0.07219,0.113,0.02331,6.57e-05,2.064,0.06368,0.06778,2.63907,208.43,5.94,58.4,346.896,0.2174,10,dec_64x8_v0.9_t25_20260715_132409
20nm,hp,TT,-0.1,0.8,25,64,16,1,0.05807,0.08969,0.01825,5.191e-05,2.094,0.09365,0.1197,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.8_t25_20260715_165642
20nm,hp,TT,-0.1,0.8,85,64,16,1,0.066645,0.09906,0.0254,0.0007794,2.089,0.0886,0.1204,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.8_t85_20260715_171208
20nm,hp,TT,-0.05,0.85,25,64,16,1,0.065905,0.10195,0.02073,5.59e-05,2.089,0.08917,0.116,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.85_t25_20260715_170031
20nm,hp,TT,-0.05,0.85,85,64,16,1,0.0755,0.1125,0.02862,0.0008615,2.085,0.08485,0.1174,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.85_t85_20260715_171546
20nm,hp,TT,0,0.9,25,64,16,1,0.074305,0.11515,0.02331,6.57e-05,2.085,0.08543,0.1131,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.9_t25_20260715_133134
20nm,hp,TT,0,0.9,85,64,16,1,0.085105,0.1271,0.0322,0.0009637,2.082,0.08175,0.1152,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.9_t85_20260715_171914
20nm,hp,TT,0.05,0.95,25,64,16,1,0.083315,0.1293,0.02617,7.63e-05,2.082,0.08226,0.1106,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.95_t25_20260715_170432
20nm,hp,TT,0.05,0.95,85,64,16,1,0.098285,0.1456,0.03919,0.001387,2.079,0.07914,0.1132,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v0.95_t85_20260715_172244
20nm,hp,TT,0.1,1,25,64,16,1,0.094385,0.14585,0.0307,0.0002445,2.08,0.07958,0.1087,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v1_t25_20260715_170830
20nm,hp,TT,0.1,1,85,64,16,1,0.18055,0.2335,0.1208,0.009278,2.077,0.07687,0.1115,5.26939,423.146,5.94,58.4,346.896,0.2174,10,dec_64x16_v1_t85_20260715_172622
20nm,hp,TT,0,0.9,25,64,32,1,0.079605,0.12025,0.02334,6.256e-05,2.212,0.2122,0.2068,10.5283,852.578,5.94,58.4,346.896,0.2174,10,dec_64x32_v0.9_t25_20260715_134425
20nm,hp,TT,0,0.9,25,64,64,1,0.094065,0.13435,0.02381,0.0001173,2.167,0.1667,0.2098,20.9133,1711.443,8.844,58.4,516.4896,0.1975,10,dec_64x64_v0.9_t25_20260715_135513
20nm,hp,TT,0,0.9,25,128,4,1,0.1297,0.18495,0.02768,0.0001082,2.143,0.1428,0.05416,1.32384,101.072,10.56,115.2,1216.512,0.1083,10,dec_128x4_v0.9_t25_20260715_140002
20nm,hp,TT,0,0.9,25,128,8,1,0.1321,0.1879,0.02773,0.0001076,2.158,0.1578,0.0778,2.63904,208.43,10.56,115.2,1216.512,0.1083,10,dec_128x8_v0.9_t25_20260715_140716
20nm,hp,TT,0,0.9,25,128,16,1,0.1342,0.18935,0.02772,0.0001075,2.183,0.1828,0.1282,5.26952,423.146,10.56,115.2,1216.512,0.1083,10,dec_128x16_v0.9_t25_20260715_142046
20nm,hp,TT,0,0.9,25,128,32,1,0.1382,0.1922,0.02773,0.0001083,2.225,0.2247,0.2162,10.5286,852.578,10.56,115.2,1216.512,0.1083,10,dec_128x32_v0.9_t25_20260715_143144
20nm,hp,TT,0,0.9,25,128,64,1,0.16175,0.2161,0.02866,0.0002155,2.298,0.2979,0.2108,20.9137,1711.443,15.444,115.2,1779.1488,0.1037,10,dec_128x64_v0.9_t25_20260715_145051
20nm,hp,TT,0,0.9,25,256,4,1,0.27075,0.42945,0.03311,0.0002422,2.12,0.1201,0.1893,1.32391,101.072,23.1,228.0,5266.8,0.0538,10,dec_256x4_v0.9_t25_20260715_145842
20nm,hp,TT,0,0.9,25,256,8,1,0.2775,0.44685,0.03319,0.0002458,2.22,0.2196,0.2155,2.63921,208.43,23.1,228.0,5266.8,0.0541,10,dec_256x8_v0.9_t25_20260715_151332
20nm,hp,TT,0,0.9,25,256,16,1,0.2662,0.42935,0.03317,0.0002452,2.161,0.1607,0.2753,5.26959,423.146,23.1,228.0,5266.8,0.054,10,dec_256x16_v0.9_t25_20260715_152810
20nm,hp,TT,-0.1,0.8,25,256,32,1,0.2213,0.34825,0.02611,0.0002016,2.32,0.3196,0.2892,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.8_t25_20260715_173607
20nm,hp,TT,-0.1,0.8,85,256,32,1,0.2535,0.3845,0.05421,0.003118,2.3,0.2996,0.29,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.8_t85_20260715_182622
20nm,hp,TT,-0.05,0.85,25,256,32,1,0.25075,0.3954,0.02957,0.0002266,2.303,0.303,0.2807,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.85_t25_20260715_174834
20nm,hp,TT,-0.05,0.85,85,256,32,1,0.2866,0.4361,0.06071,0.003452,2.287,0.2866,0.2836,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.85_t85_20260715_183827
20nm,hp,TT,0,0.9,25,256,32,1,0.28225,0.4459,0.03326,0.0002543,2.29,0.2897,0.2735,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.9_t25_20260715_154757
20nm,hp,TT,0,0.9,85,256,32,1,0.3224,0.49185,0.06818,0.003861,2.276,0.2757,0.2776,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.9_t85_20260715_185043
20nm,hp,TT,0.05,0.95,25,256,32,1,0.31585,0.5,0.03739,0.0003037,2.278,0.2784,0.2676,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.95_t25_20260715_180121
20nm,hp,TT,0.05,0.95,85,256,32,1,0.37285,0.56355,0.0887,0.00555,2.267,0.2667,0.2735,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v0.95_t85_20260715_190319
20nm,hp,TT,0.1,1,25,256,32,1,0.3574,0.56335,0.04763,0.0009422,2.269,0.269,0.2628,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v1_t25_20260715_181413
20nm,hp,TT,0.1,1,85,256,32,1,0.71075,0.9236,0.4022,0.03656,2.259,0.2587,0.2691,10.5287,852.578,23.1,228.0,5266.8,0.0551,10,dec_256x32_v1_t85_20260715_191559
20nm,hp,TT,0,0.9,25,512,4,1,0.5347,0.74185,0.03963,0.0004725,2.371,0.3715,0.2752,1.32392,101.072,42.768,452.8,19365.3504,0.0272,10,dec_512x4_v0.9_t25_20260715_160057
20nm,hp,TT,0,0.9,25,512,8,1,0.5343,0.74175,0.03951,0.0004659,2.266,0.2659,0.2363,2.63921,208.43,45.672,452.8,20680.2816,0.0252,10,dec_512x8_v0.9_t25_20260715_161745
20nm,hp,TT,0,0.9,25,512,16,1,0.55905,0.7678,0.03956,0.0004742,2.316,0.3157,0.1995,5.26959,423.146,48.972,452.8,22174.5216,0.0237,10,dec_512x16_v0.9_t25_20260715_164226
16nm,hp,TT,0,0.85,25,8,4,1,0.02097,0.030955,0.009738,1.535e-05,2.028,0.02795,0.01839,0.77852,106.9,1.512,9.792,14.8055,0.6555,10,dec_8x4_v0.85_t25_20260715_121027
16nm,hp,TT,0,0.85,25,8,8,1,0.021595,0.031575,0.009737,1.545e-05,2.033,0.03338,0.02738,1.54704,221.184,1.512,9.792,14.8055,0.6555,10,dec_8x8_v0.85_t25_20260715_121304
16nm,hp,TT,0,0.85,25,8,16,1,0.022675,0.032665,0.009738,1.535e-05,2.043,0.04326,0.04557,3.08391,449.753,1.512,9.792,14.8055,0.6555,10,dec_8x16_v0.85_t25_20260715_121558
16nm,hp,TT,0,0.85,25,8,32,1,0.0249,0.03489,0.009738,1.535e-05,2.062,0.06247,0.08285,6.15564,906.89,1.512,9.792,14.8055,0.6555,10,dec_8x32_v0.85_t25_20260715_121924
16nm,hp,TT,0,0.85,25,8,64,1,0.02921,0.039185,0.009738,1.535e-05,2.101,0.1012,0.1605,12.1094,1821.098,1.512,9.792,14.8055,0.6555,10,dec_8x64_v0.85_t25_20260715_122416
16nm,hp,TT,0,0.85,25,16,4,1,0.02836,0.0458,0.01305,2.392e-05,2.031,0.03104,0.01931,0.77852,106.9,1.62,14.976,24.2611,0.6513,10,dec_16x4_v0.85_t25_20260715_122659
16nm,hp,TT,-0.1,0.75,25,16,8,1,0.022205,0.035155,0.01009,1.893e-05,2.041,0.04087,0.03004,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.75_t25_20260715_165424
16nm,hp,TT,-0.1,0.75,85,16,8,1,0.025405,0.039145,0.01279,0.0002861,2.038,0.03809,0.02975,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.75_t85_20260715_165623
16nm,hp,TT,-0.05,0.8,25,16,8,1,0.02542,0.040495,0.01153,2.03e-05,2.038,0.03825,0.02878,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.8_t25_20260715_165452
16nm,hp,TT,-0.05,0.8,85,16,8,1,0.029065,0.045135,0.01456,0.0003195,2.036,0.03602,0.02866,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.8_t85_20260715_165651
16nm,hp,TT,0,0.85,25,16,8,1,0.0289,0.04634,0.01307,2.37e-05,2.036,0.03618,0.02783,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.85_t25_20260715_122954
16nm,hp,TT,0,0.85,85,16,8,1,0.033,0.051685,0.01648,0.000355,2.034,0.03423,0.02789,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.85_t85_20260715_165721
16nm,hp,TT,0.05,0.9,25,16,8,1,0.032625,0.05268,0.01473,2.772e-05,2.034,0.03443,0.02692,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.9_t25_20260715_165523
16nm,hp,TT,0.05,0.9,85,16,8,1,0.03724,0.05881,0.01853,0.0003953,2.033,0.03276,0.02719,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.9_t85_20260715_165749
16nm,hp,TT,0.1,0.95,25,16,8,1,0.03662,0.05955,0.01651,3.319e-05,2.033,0.03295,0.02623,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.95_t25_20260715_165556
16nm,hp,TT,0.1,0.95,85,16,8,1,0.04198,0.06672,0.02094,0.0004588,2.032,0.03151,0.02666,1.54711,221.184,1.62,14.976,24.2611,0.6513,10,dec_16x8_v0.95_t85_20260715_165820
16nm,hp,TT,0,0.85,25,16,16,1,0.029845,0.04757,0.01311,2.284e-05,2.046,0.04607,0.04597,3.08417,449.753,1.62,14.976,24.2611,0.6513,10,dec_16x16_v0.85_t25_20260715_123325
16nm,hp,TT,0,0.85,25,16,32,1,0.03221,0.04976,0.01307,2.433e-05,2.065,0.06537,0.08339,6.15598,906.89,1.62,14.976,24.2611,0.6513,10,dec_16x32_v0.85_t25_20260715_123754
16nm,hp,TT,0,0.85,25,16,64,1,0.03639,0.05409,0.01311,2.284e-05,2.104,0.1042,0.1606,12.1098,1821.098,1.62,14.976,24.2611,0.6513,10,dec_16x64_v0.85_t25_20260715_124459
16nm,hp,TT,0,0.85,25,32,4,1,0.034095,0.05975,0.01645,3.537e-05,2.033,0.03269,0.02151,0.77852,106.9,2.808,25.344,71.166,0.3663,10,dec_32x4_v0.85_t25_20260715_124753
16nm,hp,TT,0,0.85,25,32,8,1,0.03468,0.060325,0.01645,3.537e-05,2.038,0.03795,0.03053,1.54706,221.184,2.808,25.344,71.166,0.3663,10,dec_32x8_v0.85_t25_20260715_125115
16nm,hp,TT,0,0.85,25,32,16,1,0.035795,0.061445,0.01645,3.537e-05,2.048,0.0478,0.04868,3.08408,449.753,2.808,25.344,71.166,0.3663,10,dec_32x16_v0.85_t25_20260715_125539
16nm,hp,TT,0,0.85,25,32,32,1,0.037845,0.063685,0.01645,3.684e-05,2.067,0.06664,0.08524,6.15601,906.89,2.808,25.344,71.166,0.3663,10,dec_32x32_v0.85_t25_20260715_130244
16nm,hp,TT,0,0.85,25,32,64,1,0.04215,0.067985,0.01645,3.684e-05,2.106,0.1056,0.1624,12.1098,1821.098,2.808,25.344,71.166,0.3663,10,dec_32x64_v0.85_t25_20260715_131538
16nm,hp,TT,0,0.85,25,64,4,1,0.061635,0.1015,0.02002,6.025e-05,2.036,0.03646,0.02647,0.77858,106.9,5.076,48.384,245.5972,0.1839,10,dec_64x4_v0.85_t25_20260715_131901
16nm,hp,TT,0,0.85,25,64,8,1,0.062195,0.1021,0.02002,6.025e-05,2.042,0.04152,0.03544,1.54725,221.184,5.076,48.384,245.5972,0.1839,10,dec_64x8_v0.85_t25_20260715_132347
16nm,hp,TT,-0.1,0.75,25,64,16,1,0.04874,0.078855,0.01547,4.568e-05,2.058,0.05751,0.05791,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.75_t25_20260715_170158
16nm,hp,TT,-0.1,0.75,85,64,16,1,0.05658,0.087865,0.02196,0.000711,2.054,0.05354,0.05699,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.75_t85_20260715_171742
16nm,hp,TT,-0.05,0.8,25,64,16,1,0.055755,0.090565,0.01767,5.243e-05,2.054,0.05403,0.05553,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.8_t25_20260715_170554
16nm,hp,TT,-0.05,0.8,85,64,16,1,0.064585,0.10085,0.02495,0.0007932,2.051,0.05069,0.05512,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.8_t85_20260715_172113
16nm,hp,TT,0,0.85,25,64,16,1,0.06331,0.1032,0.02002,6.025e-05,2.051,0.0512,0.05354,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.85_t25_20260715_133058
16nm,hp,TT,0,0.85,85,64,16,1,0.07322,0.11495,0.02816,0.0008811,2.048,0.04836,0.05344,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.85_t85_20260715_172450
16nm,hp,TT,0.05,0.9,25,64,16,1,0.07141,0.11685,0.02256,6.909e-05,2.049,0.04885,0.05198,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.9_t25_20260715_170956
16nm,hp,TT,0.05,0.9,85,64,16,1,0.08249,0.13025,0.03163,0.0009779,2.046,0.04639,0.05235,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.9_t85_20260715_172838
16nm,hp,TT,0.1,0.95,25,64,16,1,0.08008,0.1316,0.02528,7.951e-05,2.047,0.04687,0.05069,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.95_t25_20260715_171402
16nm,hp,TT,0.1,0.95,85,64,16,1,0.092985,0.1472,0.03596,0.001143,2.045,0.04472,0.05134,3.0841,449.753,5.076,48.384,245.5972,0.1839,10,dec_64x16_v0.95_t85_20260715_173211
