rtl_name	arch_params	node	status	crit_path_ns	slack_ns	crit_in2reg_ns	crit_reg2reg_ns	crit_reg2out_ns	crit_in2out_ns	message
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=5	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=2	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=3	7	ok	0.24	0.04	0.02	0.24	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=3	5	ok	0.26	0.03	0.02	0.26	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=5	7	ok	0.24	0.04	0.02	0.24	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=3	10	ok	0.27	0.01	0.02	0.27	0.06		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=3	7	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=2	7	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=3	20	ok	0.53	-0.26	0.05	0.53	0.17		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=3	16	ok	0.40	-0.13	0.04	0.4	0.12		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=5	16	ok	0.36	-0.09	0.04	0.36	0.12		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=2	16	ok	0.45	-0.18	0.04	0.45	0.12		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=5	20	ok	0.47	-0.21	0.05	0.47	0.17		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=2	20	ok	0.63	-0.37	0.05	0.63	0.17		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=3	16	ok	0.40	-0.13	0.04	0.4	0.12		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=3	20	ok	0.55	-0.29	0.05	0.55	0.17		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=5	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=3	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=2	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=3	7	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=5	7	ok	0.25	0.03	0.02	0.25	0.05		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=2	7	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=5	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=5	7	ok	0.28	0.01	0.02	0.28	0.05		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=5	20	ok	0.48	-0.22	0.05	0.48	0.17		
intadd	a_width=24;b_width=24;out_width=24;pipeline_stages=5	16	ok	0.33	-0.06	0.04	0.33	0.12		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=2	16	ok	0.44	-0.17	0.04	0.44	0.12		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=3	16	ok	0.41	-0.14	0.04	0.41	0.12		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=2	20	ok	0.61	-0.35	0.05	0.61	0.17		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=3	20	ok	0.57	-0.31	0.05	0.57	0.17		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=5	16	ok	0.37	-0.10	0.04	0.37	0.12		
intadd	a_width=24;b_width=24;out_width=32;pipeline_stages=5	20	ok	0.52	-0.25	0.05	0.52	0.17		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=2	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=3	5	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=5	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=3	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=2	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=2	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=5	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=2	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=2	16	ok	0.48	-0.21	0.04	0.48	0.12		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=2	20	ok	0.64	-0.38	0.05	0.64	0.17		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=3	16	ok	0.41	-0.14	0.04	0.41	0.12		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=5	16	ok	0.36	-0.10	0.04	0.36	0.12		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=3	20	ok	0.57	-0.31	0.05	0.57	0.17		
intadd	a_width=32;b_width=32;out_width=32;pipeline_stages=5	20	ok	0.52	-0.25	0.05	0.52	0.17		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=2	16	ok	0.46	-0.20	0.04	0.46	0.12		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=2	20	ok	0.66	-0.38	0.05	0.66	0.66		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=3	5	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=5	5	ok	0.23	0.05	0.02	0.23	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=2	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=3	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=5	10	ok	0.26	0.02	0.02	0.26	0.06		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=5	7	ok	0.24	0.05	0.02	0.24	0.05		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=3	7	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=2	7	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=3	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.29		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=3	16	ok	0.44	-0.17	0.04	0.44	0.12		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=3	20	ok	0.63	-0.37	0.05	0.63	0.17		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=2	16	ok	0.50	-0.23	0.04	0.5	0.12		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=5	16	ok	0.36	-0.10	0.04	0.36	0.12		
intadd	a_width=32;b_width=32;out_width=40;pipeline_stages=5	20	ok	0.53	-0.27	0.05	0.53	0.17		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=3	16	ok	0.46	-0.19	0.04	0.46	0.12		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=2	20	ok	0.72	-0.44	0.05	0.72	0.66		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=3	20	ok	0.64	-0.38	0.05	0.64	0.17		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=5	5	ok	0.26	0.03	0.02	0.26	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=2	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=3	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=5	10	ok	0.27	0.01	0.02	0.27	0.06		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=5	5	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=5	7	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=2	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=5	7	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=3	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=2	10	ok	0.30	-0.01	0.02	0.3	0.29		
intadd	a_width=48;b_width=48;out_width=56;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=48;b_width=48;out_width=48;pipeline_stages=5	16	ok	0.39	-0.13	0.04	0.39	0.12		
